periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion
2007-01-01,Balears. Illes,Balears. Illes,Resto,nan,Banda ancha fija,367,4014,Líneas,Líneas banda ancha otras tecnologías,nan,nan,Unidades,1174.0,0.0,0.1
2007-01-01,Balears. Illes,Balears. Illes,Resto,nan,Telefonía fija,194,2007,Líneas,nan,nan,nan,Unidades,228.0,0.0,0.0
2007-01-01,Balears. Illes,Balears. Illes,Resto,nan,Telefonía móvil,198,2007,Líneas,nan,nan,nan,Unidades,3331.0,0.0,0.3
2007-01-01,Balears. Illes,Balears. Illes,Vodafone,nan,Banda ancha fija,185,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,3985.0,0.0,0.4
2007-01-01,Balears. Illes,Balears. Illes,Vodafone,nan,Telefonía fija,195,2007,Líneas,nan,nan,nan,Unidades,5171.0,0.0,0.5
2007-01-01,Balears. Illes,Balears. Illes,Vodafone,nan,Telefonía móvil,199,2007,Líneas,nan,nan,nan,Unidades,196261.0,0.0,19.5
2007-01-01,Balears. Illes,Balears. Illes,nan,Accesos instalados FTTH y FTTN,Accesos instalados,176,2007,Nº de accesos  por tipo de acceso,nan,nan,nan,Unidades,1489.0,0.0,0.1
2007-01-01,Balears. Illes,Balears. Illes,nan,nan,Estaciones Base,561,6021,Nº de estaciones base en redes de acceso móvil,nan,Estaciones base GPRS,nan,Unidades,0.0,2353.0,0.0
2007-01-01,Balears. Illes,Balears. Illes,nan,nan,Servicios audiovisuales,189,2007,Abonados,nan,nan,nan,Unidades,125264.0,0.0,12.5
2007-01-01,Barcelona,Cataluña,Otros,nan,Banda ancha fija,403,4014,Líneas,Líneas banda ancha otras tecnologías,nan,nan,Unidades,52514.0,0.0,1.0
2007-01-01,Barcelona,Cataluña,Otros,nan,Telefonía fija,215,2007,Líneas,nan,nan,nan,Unidades,51423.0,0.0,1.0
2007-01-01,Barcelona,Cataluña,Movistar,nan,Banda ancha fija,203,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,721748.0,0.0,13.6
2007-01-01,Barcelona,Cataluña,Movistar,nan,Telefonía fija,216,2007,Líneas,nan,nan,nan,Unidades,2441462.0,0.0,46.1
2007-01-01,Barcelona,Cataluña,Movistar,nan,Telefonía móvil,221,2007,Líneas,nan,nan,nan,Unidades,1460284.0,0.0,27.6
2007-01-01,Barcelona,Cataluña,Otros,nan,Banda ancha fija,409,4014,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,115564.0,0.0,2.2
2007-01-01,Barcelona,Cataluña,Otros,nan,Telefonía fija,217,2007,Líneas,nan,nan,nan,Unidades,149301.0,0.0,2.8
2007-01-01,Barcelona,Cataluña,Orange,nan,Banda ancha fija,206,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,237908.0,0.0,4.5
2007-01-01,Barcelona,Cataluña,Orange,nan,Telefonía fija,218,2007,Líneas,nan,nan,nan,Unidades,24439.0,0.0,0.5
2007-01-01,Barcelona,Cataluña,Orange,nan,Telefonía móvil,222,2007,Líneas,nan,nan,nan,Unidades,669966.0,0.0,12.6
2007-01-01,Barcelona,Cataluña,Otros,nan,Banda ancha fija,207,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,24.0,0.0,0.0
2007-01-01,Barcelona,Cataluña,Resto,nan,Banda ancha fija,417,4014,Líneas,Líneas banda ancha otras tecnologías,nan,nan,Unidades,16339.0,0.0,0.30000000000000004
2007-01-01,Barcelona,Cataluña,Resto,nan,Telefonía fija,219,2007,Líneas,nan,nan,nan,Unidades,60313.0,0.0,1.1
2007-01-01,Barcelona,Cataluña,Resto,nan,Telefonía móvil,223,2007,Líneas,nan,nan,nan,Unidades,19524.0,0.0,0.4
2007-01-01,Barcelona,Cataluña,Vodafone,nan,Banda ancha fija,210,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,61733.0,0.0,1.2
2007-01-01,Barcelona,Cataluña,Vodafone,nan,Telefonía fija,220,2007,Líneas,nan,nan,nan,Unidades,77633.0,0.0,1.5
2007-01-01,Barcelona,Cataluña,Vodafone,nan,Telefonía móvil,224,2007,Líneas,nan,nan,nan,Unidades,1323072.0,0.0,25.0
2007-01-01,Barcelona,Cataluña,nan,Accesos instalados FTTH y FTTN,Accesos instalados,200,2007,Nº de accesos  por tipo de acceso,nan,nan,nan,Unidades,21175.0,0.0,0.4
