periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion,anio
,,,,,,1524,6021,,,,,,0.0,896.0,0.0,2007
,,,,,,510,2007,,,,,,50933.0,0.0,7.3,2007
,,,,,,1095,4014,,,,,,5804.0,0.0,0.7,2007
,,,,,,562,2007,,,,,,4542.0,0.0,0.5,2007
,,,,,,549,2007,,,,,,85537.0,0.0,9.7,2007
,,,,,,563,2007,,,,,,304698.0,0.0,34.4,2007
,,,,,,568,2007,,,,,,162126.0,0.0,18.3,2007
,,,,,,1101,4014,,,,,,16278.0,0.0,1.8,2007
,,,,,,564,2007,,,,,,22159.0,0.0,2.5,2007
,,,,,,552,2007,,,,,,16999.0,0.0,1.9,2007
,,,,,,565,2007,,,,,,2557.0,0.0,0.3,2007
,,,,,,569,2007,,,,,,142585.0,0.0,16.1,2007
,,,,,,553,2007,,,,,,3.0,0.0,0.0,2007
,,,,,,1665,6021,,,,,,3459.0,0.0,0.4,2007
,,,,,,566,2007,,,,,,4348.0,0.0,0.5,2007
,,,,,,570,2007,,,,,,3887.0,0.0,0.4,2007
,,,,,,557,2007,,,,,,5513.0,0.0,0.6,2007
,,,,,,567,2007,,,,,,6978.0,0.0,0.8,2007
,,,,,,571,2007,,,,,,145132.0,0.0,16.4,2007
,,,,,,546,2007,,,,,,5580.0,0.0,0.6,2007
