anio,fecha,operador,mercado,servicio,tipo_de_ingreso,ingresos,id,pais,concepto,tipo_de_paquete,unidades,ingresos_por_operador,empleados_por_operador,paquetes,inversiones_por_operador,gastos_por_operador
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Venta y alquiler de terminales,20761,692,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
10070,2014-01-01,Nan,nan,Datos generales,nan,0,3325,España,Paquetes,Resto,Unidades,0.0,0,12554545.0,0.0,0.0
2015,2015-01-01,Otros,nan,Datos generales,nan,0,705,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,3.42,0.0
2015,2015-01-01,Otros,nan,Datos generales,nan,0,697,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,17.42
10075,2015-01-01,Otros,nan,Datos generales,nan,0,3586,España,Gastos de explotación,nan,Millones de euros,73.88999999999999,1020,0.0,0.22,0.45
2015,2015-01-01,Otros,nan,Datos generales,nan,0,707,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,46.86,0.0
8060,2015-01-01,Otros,nan,Datos generales,nan,0,2864,España,Gastos de explotación,nan,Millones de euros,35.78,970,0.0,1.42,3.1
2015,2015-01-01,Otros,nan,Datos generales,nan,0,699,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,20.96
2015,2015-01-01,Otros,nan,Datos generales,nan,0,709,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,183.8,0.0
10075,2015-01-01,Movistar,nan,Datos generales,nan,0,3599,España,Gastos de explotación,nan,Millones de euros,12293.61,262570,0.0,1801.94,158.27
10075,2015-01-01,Orange,nan,Datos generales,nan,0,3621,España,Gastos de explotación,nan,Millones de euros,3841.37,39840,0.0,680.97,62.27
4030,2015-01-01,Otros,nan,Datos generales,nan,0,1433,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,62770,0.0,16.58,0.0
10075,2015-01-01,Resto,nan,Datos generales,nan,0,3626,España,Gastos de explotación,nan,Millones de euros,8751.57,188100,0.0,1223.17,73.14
2015,2015-01-01,Otros,nan,Datos generales,nan,0,721,España,Número de empleados,nan,Unidades,0.0,22680,0.0,0.0,0.0
